listing_id,host_id,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
698672,2302855,De Baarsjes - Oud-West,Entire home/apt,,3,60,0.39,0
701812,3601944,Zuid,Entire home/apt,,7,14,0.09,5
702894,3607736,Bos en Lommer,Entire home/apt,,5,85,0.55,0
708528,3644216,De Pijp - Rivierenbuurt,Private room,187.0,3,265,2.31,18
716107,3689867,De Baarsjes - Oud-West,Entire home/apt,,3,174,1.15,0
728144,3775786,Centrum-Oost,Entire home/apt,476.0,3,148,0.96,3
728145,1902079,De Pijp - Rivierenbuurt,Entire home/apt,225.0,4,69,0.45,185
729260,3788198,Centrum-West,Entire home/apt,143.0,5,105,0.68,238
729317,3788673,Centrum-Oost,Private room,139.0,3,205,2.05,127
730916,3267693,Westerpark,Private room,,3,453,2.96,0
733654,3823268,Centrum-Oost,Entire home/apt,,5,14,0.09,0
741043,3877342,Westerpark,Entire home/apt,687.0,2,85,0.56,261
742160,1582128,Centrum-Oost,Entire home/apt,854.0,2,151,1.0,281
744659,3518386,Oud-Oost,Private room,143.0,2,352,2.29,254
746067,3713242,Centrum-West,Entire home/apt,,5,91,0.61,0
747847,3548522,De Baarsjes - Oud-West,Private room,60.0,2,40,0.29,2
751626,3703205,Oud-Oost,Entire home/apt,,1,32,0.21,0
754613,3970753,Centrum-Oost,Entire home/apt,386.0,3,490,3.26,153
755431,3975477,De Baarsjes - Oud-West,Private room,129.0,3,368,2.57,208
758475,1387938,De Baarsjes - Oud-West,Entire home/apt,,6,39,0.26,0
759060,4000086,Centrum-West,Entire home/apt,,3,106,0.7,0
759299,3548522,De Baarsjes - Oud-West,Entire home/apt,300.0,3,17,0.13,164
761411,4013546,Noord-Oost,Private room,72.0,3,343,2.23,9
768274,3678216,Westerpark,Entire home/apt,294.0,3,84,0.59,318
768737,3877342,Westerpark,Private room,122.0,2,403,2.74,0
771217,4068486,Zuid,Entire home/apt,,3,10,0.09,0
771343,2313061,Centrum-West,Private room,130.0,1,879,6.9,221
771758,195859,Slotervaart,Private room,70.0,2,366,2.47,310
775655,4091515,Centrum-Oost,Private room,,2,550,3.59,355
780674,4117326,Centrum-Oost,Entire home/apt,,2,36,0.25,0
782254,4125951,Centrum-West,Entire home/apt,499.0,3,65,0.43,48
794322,4184910,Centrum-Oost,Private room,,1,440,2.93,278
796683,3732811,De Baarsjes - Oud-West,Entire home/apt,,3,15,0.12,0
800723,4215174,De Baarsjes - Oud-West,Entire home/apt,117.0,4,18,0.12,108
801544,1657181,De Pijp - Rivierenbuurt,Entire home/apt,,3,105,0.72,0
802052,4221960,Centrum-Oost,Private room,147.0,1,1426,9.33,185
805330,4239235,De Pijp - Rivierenbuurt,Entire home/apt,,5,20,0.13,4
816940,4290554,Zuid,Entire home/apt,,7,83,0.56,2
817716,4294992,De Baarsjes - Oud-West,Entire home/apt,,3,42,0.28,0
818881,4297337,Centrum-Oost,Entire home/apt,144.0,6,43,0.3,116
829306,4346522,De Baarsjes - Oud-West,Entire home/apt,,5,25,0.18,0
834233,4364462,Centrum-Oost,Private room,123.0,3,414,2.73,70
835627,3054367,Centrum-Oost,Entire home/apt,389.0,4,24,0.16,7
839610,3601944,Zuid,Entire home/apt,,7,27,0.22,0
840346,551716,De Pijp - Rivierenbuurt,Entire home/apt,,1,23,0.15,0
847093,4663170,De Baarsjes - Oud-West,Entire home/apt,340.0,5,57,0.38,175
851044,4443833,Zuid,Entire home/apt,156.0,1,1105,7.29,156
853645,4398387,De Pijp - Rivierenbuurt,Entire home/apt,,30,70,0.46,0
862411,4520552,Centrum-West,Entire home/apt,280.0,90,83,0.55,276
865328,4543444,Zuid,Private room,157.0,4,275,2.42,191
868418,4574185,Noord-West,Private room,110.0,2,19,0.13,98
874057,4592706,De Baarsjes - Oud-West,Entire home/apt,,4,35,0.24,0
874076,4614541,Centrum-Oost,Private room,195.0,2,81,0.75,274
877702,4614541,Centrum-Oost,Private room,252.0,2,81,0.55,284
879986,3332206,De Pijp - Rivierenbuurt,Private room,107.0,5,613,4.07,253
884329,4684314,De Aker - Nieuw Sloten,Private room,,2,619,4.11,171
890288,4724613,Zuid,Entire home/apt,425.0,2,58,0.39,169
895684,4773348,Westerpark,Entire home/apt,340.0,1,49,0.33,167
901789,4817958,De Baarsjes - Oud-West,Entire home/apt,102.0,3,100,0.68,3
906446,488009,Buitenveldert - Zuidas,Private room,89.0,2,429,2.9,346
916096,4917532,Centrum-West,Entire home/apt,,3,88,0.6,5
919131,4937229,Zuid,Entire home/apt,,5,72,0.48,0
922489,4574185,Noord-West,Private room,123.0,2,25,0.17,199
931270,4281750,Zuid,Entire home/apt,127.0,2,500,3.44,168
933523,5033331,IJburg - Zeeburgereiland,Private room,267.0,3,173,1.28,51
934060,5037506,Oud-Noord,Private room,668.0,2,163,1.1,0
937635,5062046,De Baarsjes - Oud-West,Entire home/apt,,3,91,0.61,0
946142,5102632,Westerpark,Entire home/apt,99.0,3,483,3.25,122
947437,5134833,Osdorp,Private room,100.0,2,350,2.44,18
951483,5162447,Watergraafsmeer,Entire home/apt,128.0,4,63,0.42,174
954629,5183517,Bijlmer-Centrum,Private room,84.0,1,178,1.4,206
954633,5183517,Bijlmer-Centrum,Private room,92.0,2,222,1.64,80
957396,4794187,IJburg - Zeeburgereiland,Entire home/apt,276.0,3,29,0.21,287
963328,538659,Centrum-West,Private room,172.0,4,525,3.56,63
964986,2633774,De Pijp - Rivierenbuurt,Entire home/apt,355.0,5,36,0.24,167
969862,5297940,Zuid,Private room,95.0,2,266,1.85,234
974240,4073717,Zuid,Private room,,3,141,1.64,0
978852,3879155,De Baarsjes - Oud-West,Private room,,3,264,1.79,0
989222,3205205,De Pijp - Rivierenbuurt,Entire home/apt,,3,34,0.23,0
995087,4415881,Westerpark,Private room,85.0,3,477,3.5,0
998822,5489703,Centrum-Oost,Entire home/apt,,2,93,0.7,0
1005026,5527871,Westerpark,Entire home/apt,,3,52,0.35,0
1005695,5530981,Oud-Oost,Entire home/apt,150.0,10,45,0.3,171
1008006,3523553,Westerpark,Private room,127.0,3,191,1.62,273
1008223,4443157,Slotervaart,Private room,85.0,2,660,4.43,0
1018639,4473576,Centrum-Oost,Private room,,3,41,0.28,0
1018703,125667,De Pijp - Rivierenbuurt,Private room,,1,354,2.6,222
1020477,5617295,Centrum-West,Entire home/apt,,4,43,0.29,5
1021538,5622526,Slotervaart,Entire home/apt,289.0,7,12,0.11,76
1025482,5646154,Oud-Noord,Private room,151.0,2,819,5.51,183
1037485,5711109,De Baarsjes - Oud-West,Entire home/apt,,4,16,0.11,0
1038120,5714947,Centrum-West,Entire home/apt,808.0,3,57,0.4,351
1041309,5732915,Zuid,Entire home/apt,,4,54,0.37,0
1043348,5745029,Oostelijk Havengebied - Indische Buurt,Entire home/apt,,5,17,0.12,0
1044448,5750100,Centrum-Oost,Entire home/apt,795.0,3,51,0.35,357
1044452,5750107,Westerpark,Entire home/apt,119.0,1,307,2.09,168
1047746,2976877,Oud-Oost,Entire home/apt,302.0,4,32,0.22,14
1057494,1899420,Zuid,Private room,81.0,1,617,4.19,135
1068565,5878526,IJburg - Zeeburgereiland,Entire home/apt,180.0,6,98,0.66,265
1071414,5893654,Oud-Oost,Entire home/apt,164.0,3,507,3.43,26
1085099,2816647,Bos en Lommer,Entire home/apt,,2,98,0.67,0
1086763,3899684,Centrum-Oost,Private room,175.0,3,54,0.41,273
1086795,3899684,Centrum-Oost,Private room,167.0,3,31,0.24,277
1088859,126790,De Baarsjes - Oud-West,Entire home/apt,,2,77,0.52,3
1102846,6057160,Centrum-Oost,Entire home/apt,240.0,3,113,0.77,8
1105128,6063077,Centrum-Oost,Private room,180.0,2,496,3.37,272
1105924,6072512,Watergraafsmeer,Entire home/apt,250.0,3,17,0.12,23
1113862,6113063,De Pijp - Rivierenbuurt,Entire home/apt,,5,12,0.1,0
1116446,6127483,Bos en Lommer,Private room,80.0,1,387,2.63,58
1132247,6211092,Westerpark,Entire home/apt,546.0,3,45,0.31,226
